id,name,fling_power,fling_effect_id,effect
161,occa-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:fire}-type damage, it consumes this item to halve the amount of damage taken."
162,passho-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:water}-type damage, it consumes this item to halve the amount of damage taken."
163,wacan-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:electric}-type damage, it consumes this item to halve the amount of damage taken."
164,rindo-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:grass}-type damage, it consumes this item to halve the amount of damage taken."
165,yache-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:ice}-type damage, it consumes this item to halve the amount of damage taken."
166,chople-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:fighting}-type damage, it consumes this item to halve the amount of damage taken."
167,kebia-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:poison}-type damage, it consumes this item to halve the amount of damage taken."
168,shuca-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:ground}-type damage, it consumes this item to halve the amount of damage taken."
169,coba-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:flying}-type damage, it consumes this item to halve the amount of damage taken."
170,payapa-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:psychic}-type damage, it consumes this item to halve the amount of damage taken."
171,tanga-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:bug}-type damage, it consumes this item to halve the amount of damage taken."
172,charti-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:rock}-type damage, it consumes this item to halve the amount of damage taken."
173,kasib-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:ghost}-type damage, it consumes this item to halve the amount of damage taken."
174,haban-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:dragon}-type damage, it consumes this item to halve the amount of damage taken."
175,colbur-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:dark}-type damage, it consumes this item to halve the amount of damage taken."
176,babiri-berry,10,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} []{type:steel}-type damage, it consumes this item to halve the amount of damage taken."
177,chilan-berry,10,,"Held in battle
:   When the holder would take []{type:normal}-type damage, it consumes this item to halve the amount of damage taken."
178,liechi-berry,10,3,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item to [raise]{mechanic:raise} its [Attack]{mechanic:attack} by one stage."
179,ganlon-berry,10,3,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item to [raise]{mechanic:raise} its [Defense]{mechanic:defense} by one stage."
180,salac-berry,10,3,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item to [raise]{mechanic:raise} its [Speed]{mechanic:speed} by one stage."
181,petaya-berry,10,3,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item to [raise]{mechanic:raise} its [Special Attack]{mechanic:special-attack} by one stage."
182,apicot-berry,10,3,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item to [raise]{mechanic:raise} its [Special Defense]{mechanic:special-defense} by one stage."
183,lansat-berry,10,3,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item to [raise]{mechanic:raise} its [critical hit chance]{mechanic:critical-hit-chance} by one stage."
184,starf-berry,10,3,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item to [raise]{mechanic:raise} a random stat by two stages."
185,enigma-berry,10,,"Held in battle
:   When the holder takes [super-effective]{mechanic:super-effective} damage, it consumes this item to restore 1/4 its max [HP]{mechanic:hp}."
186,micle-berry,10,3,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item, and its next used move has 1.2× its normal accuracy."
187,custap-berry,10,,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item.  On the following turn, the holder will act first among moves with the same [priority]{mechanic:priority}, regardless of [Speed]{mechanic:speed}."
188,jaboca-berry,10,,"Held in battle
:   When the holder takes [physical]{mechanic:physical} damage, it consumes this item to damage the attacking Pokémon for 1/8 its max [HP]{mechanic:hp}."
189,rowap-berry,10,,"Held in battle
:   When the holder takes [special]{mechanic:special} damage, it consumes this item to damage the attacking Pokémon for 1/8 its max [HP]{mechanic:hp}."
190,bright-powder,10,,"Held in battle
:   Moves targeting the holder have 0.9× [chance to hit]{mechanic:chance-to-hit}."
191,white-herb,10,4,"Held in battle
:   At the end of each turn, if any of the holder's stats have a negative [stat modifier]{mechanic:stat-modifier}, the holder consumes this item to remove the modifiers from those stats."
192,macho-brace,60,,"Held
:   When the holder would gain [effort]{mechanic:effort} due to battle, it gains double that effort instead.

Held in battle
:   Holder has half its [Speed]{mechanic:speed}."
193,exp-share,,,"Held
:   [Experience]{mechanic:experience} is split across two groups: Pokémon who participated in battle, and Pokémon holding this item.  Each Pokémon earns experience as though it had battled alone, divided by the number of Pokémon in its group, then divided by the number of groups. Pokémon holding this item who also participated in battle effectively earn experience twice.

    [Fainted]{mechanic:fainted} Pokémon never earn experience, and empty groups are
ignored; thus, if a single Pokémon is holding this item and the only Pokémon who battled faints from []{move:explosion}, the holder will gain full experience."
194,quick-claw,80,,"Held in battle
:   Whenever the holder attempts to use a move, it has a 3/16 chance to act first among moves with the same [priority]{mechanic:priority}.  If multiple Pokémon have this effect at the same time, [Speed]{mechanic:speed} is the tie-breaker as normal, but the effect of []{move:trick-room} is ignored."
195,soothe-bell,10,,"Held
:   When the holder would earn [happiness]{mechanic:happiness} for any reason, it earns twice that amount instead."
196,mental-herb,10,4,"Held in battle
:   When the holder is [attracted]{move:attract}, it consumes this item to cure the attraction."
197,choice-band,10,,"Held in battle
:   Holder has 1.5× its [Attack]{mechanic:attack}.  When the holder attempts to use a move, all its other moves are disabled until it leaves battle or loses this item.

    The restriction ends even if this item is swapped for another Choice item
via []{move:trick} or []{move:switcheroo}."
198,kings-rock,30,7,"Held in battle
:   Holder's damaging moves have a 10% chance to make their target [flinch]{mechanic:flinch}.  This chance applies independently to each hit of a multi-hit move.

    This item's chance is rolled independently of any other move effects;
e.g., a move with a 30% chance to flinch normally will have a 37% total chance to flinch when used with this item, because 3% of the time, both effects activate.

Held by []{pokemon:poliwhirl} or []{pokemon:slowbro}
:   Holder evolves into []{pokemon:politoed} or []{pokemon:slowking}, respectively, when traded."
199,silver-powder,10,,"Held in battle
:   Holder's []{type:bug}-type moves have 1.2× their power.
"
200,amulet-coin,30,,"Held
:   If the holder participated in a trainer battle, the trainer earns twice the usual prize money.  This effect applies even if the holder [fainted]{mechanic:fainted}.

    This effect does not stack with any other similar effect."
201,cleanse-tag,30,,Held by lead Pokémon: Prevents wild battles with Pokémon that are lower level than the holder.
202,soul-dew,30,,Held by Latias or Latios: Increases the holder's Special Attack and Special Defense by 50%.
203,deep-sea-tooth,90,,Held by Clamperl: Doubles the holder's Special Attack.  Evolves the holder into Huntail when traded.
204,deep-sea-scale,30,,Held by Clamperl: Doubles the holder's Special Defense.  Evolves the holder into Gorebyss when traded.
205,smoke-ball,30,,"Held: In wild battles, attempts to run away on the holder's turn will always succeed."
206,everstone,30,,"Held: Prevents the holder from evolving naturally.  Evolution initiated by the trainer (Stones, etc) will still work."
207,focus-band,10,,"Held: If the holder is attacked for regular damage that would faint it, this item has a 10% chance to prevent the holder's HP from lowering below 1."
208,lucky-egg,30,,Held: Increases any Exp the holder gains by 50%.
209,scope-lens,30,,Held: Raises the holder's critical hit counter by 1.
210,metal-coat,30,,"Held: Increases the power of the holder's Steel moves by 20%.
Held by Onix or Scyther: Evolves the holder into Steelix or Scizor when traded, respectively."
211,leftovers,10,,Held: Heals the holder by 1/16 its max HP at the end of each turn.
212,dragon-scale,30,,Held by Seadra: Evolves the holder into Kingdra when traded.
213,light-ball,30,5,Held by Pikachu: Doubles the holder's initial Attack and Special Attack.
214,soft-sand,10,,Held: Increases the power of the holder's Ground moves by 20%.
215,hard-stone,100,,Held: Increases the power of the holder's Rock moves by 20%.
216,miracle-seed,30,,Held: Increases the power of the holder's Grass moves by 20%.
217,black-glasses,30,,Held: Increases the power of the holder's Dark moves by 20%.
218,black-belt,30,,Held: Increases the power of the holder's Fighting moves by 20%.
219,magnet,30,,Held: Increases the power of the holder's Electric moves by 20%.
220,mystic-water,30,,Held: Increases the power of the holder's Water moves by 20%.
221,sharp-beak,50,,Held: Increases the power of the holder's Flying moves by 20%.
222,poison-barb,70,6,Held: Increases the power of the holder's Poison moves by 20%.
223,never-melt-ice,30,,Held: Increases the power of the holder's Ice moves by 20%.
224,spell-tag,30,,Held: Increases the power of the holder's Ghost moves by 20%.
225,twisted-spoon,30,,Held: Increases the power of the holder's Psychic moves by 20%.
226,charcoal,30,,Held: Increases the power of the holder's Fire moves by 20%.
227,dragon-fang,70,,Held: Increases the power of the holder's Dragon moves by 20%.
228,silk-scarf,10,,Held: Increases the power of the holder's Normal moves by 20%.
229,up-grade,30,,Held by Porygon: Evolves the holder into Porygon2 when traded.
230,shell-bell,30,,Held: Heals the holder by 1/8 of any damage it inflicts.
231,sea-incense,10,,Held: Increases the power of the holder's Water moves by 20%.
232,lax-incense,10,,Held: Increases the holder's Evasion by 5%.
233,lucky-punch,40,,Held by Chansey: Raises the holder's critical hit counter by 2.
234,metal-powder,10,,Held by Ditto: Increases the holder's initial Defense and Special Defense by 50%.
235,thick-club,90,,Held by Cubone or Marowak: Doubles the holder's Attack.
236,stick,60,,Held by Farfetch'd: Raises the holder's critical hit counter by 2.
237,red-scarf,10,,Held: Increases the holder's Coolness during a Super Contest's Visual Competition.
238,blue-scarf,10,,Held: Increases the holder's Beauty during a Super Contest's Visual Competition.
239,pink-scarf,10,,Held: Increases the holder's Cuteness during a Super Contest's Visual Competition.
240,green-scarf,10,,Held: Increases the holder's Smartness during a Super Contest's Visual Competition.
241,yellow-scarf,10,,Held: Increases the holder's Toughness during a Super Contest's Visual Competition.
242,wide-lens,10,,Held: Increases the accuracy of any move the holder uses by 10% (multiplied; i.e. 70% accuracy is increased to 77%).
243,muscle-band,10,,Held: Increases the power of the holder's physical moves by 10%.
244,wise-glasses,10,,Held: Increases the power of the holder's special moves by 10%.
245,expert-belt,10,,"Held: When the holder hits with a super-effective move, its power is raised by 20%."
246,light-clay,30,,"Held: The holder's Reflect and Light Screen will create effects lasting for eight turns rather than five.  As this item affects the move rather than the barrier itself, the effect is not lost if the holder leaves battle or drops this item."
247,life-orb,30,,"Held: Damage from the holder's moves is increased by 30%.  On each turn the holder uses a damage-inflicting move, it takes 10% its max HP in damage."
248,power-herb,10,,"Held: Whenever the holder uses a move that requires a turn to charge first (Bounce, Dig, Dive, Fly, Razor Wind, Skull Bash, Sky Attack, or Solarbeam), this item is consumed and the charge is skipped.  Skull Bash still provides a Defense boost."
249,toxic-orb,30,1,Held: Badly poisons the holder at the end of each turn.
250,flame-orb,30,2,Held: Burns the holder at the end of each turn.
251,quick-powder,10,,Held by Ditto: Doubles the holder's initial Speed.
252,focus-sash,10,,"Held: If the holder has full HP and is attacked for regular damage that would faint it, this item is consumed and prevents the holder's HP from lowering below 1.  This effect works against multi-hit attacks, but does not work against the effects of Doom Desire or Future Sight."
253,zoom-lens,10,,"Held: Raises the holder's Accuracy by 20% when it goes last.
Ingame description is incorrect."
254,metronome,30,,"Held: Each time the holder uses the same move consecutively, its power is increased by another 10% of its original, to a maximum of 100%."
255,iron-ball,130,,"Held: Decreases the holder's Speed by 50%.  If the holder is Flying or has Levitate, it takes regular damage from Ground attacks and is suspectible to Spikes and Toxic Spikes."
256,lagging-tail,10,,"Held: The holder will go last within its move's priority bracket, regardless of Speed.  If multiple Pokémon within the same priority bracket are subject to this effect, the slower Pokémon will go first.  The holder will move after Pokémon with Stall.  If the holder has Stall, Stall is ignored.  This item ignores Trick Room."
257,destiny-knot,10,,"Held: When the holder becomes Attracted, the Pokémon it is Attracted to becomes Attracted back."
258,black-sludge,30,,"Held: If the holder is Poison-type, restores 1/16 max HP at the end of each turn.  Otherwise, damages the holder by 1/16 its max HP at the end of each turn."
259,icy-rock,40,,"Held: The holder's Hail will create a hailstorm lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."
260,smooth-rock,10,,"Held: The holder's Sandstorm will create a sandstorm lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."
261,heat-rock,60,,"Held: The holder's Sunny Day will create sunshine lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."
262,damp-rock,60,,"Held: The holder's Rain Dance will create rain lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."
263,grip-claw,90,,Held: Increases the duration of the holder's multiturn (2-5 turn) moves by three turns.
264,choice-scarf,10,,"Held: Increases the holder's Speed by 50%, but restricts it to the first move it uses until it leaves battle or loses this item.  If this item is swapped for another Choice item via Trick or Switcheroo, the holder's restriction is still lifted, but it will again be restricted to the next move it uses.
(Quirk: If the holder is switched in by U-Turn and it also knows U-Turn, U-Turn becomes its restricted move.)"
265,sticky-barb,80,,"Held: Damaged the holder for 1/8 its max HP.  When the holder is struck by a contact move, damages the attacker for 1/8 its max HP; if the attacker is not holding an item, it will take this item."
266,power-bracer,70,,"Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Attack effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
267,power-belt,70,,"Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Defense effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
268,power-lens,70,,"Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Special Attack effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
269,power-band,70,,"Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Special Defense effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
270,power-anklet,70,,"Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Speed effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
271,power-weight,70,,"Held: Decreases the holder's Speed by 50%.  Whenever the holder gains HP effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
272,shed-shell,10,,Held: The holder is unaffected by any moves or abilities that would prevent it from actively leaving battle.
273,big-root,10,,"Held: HP restored from Absorb, Aqua Ring, Drain Punch, Dream Eater, Giga Drain, Ingrain, Leech Life, Leech Seed, and Mega Drain is increased by 30%.  Damage inflicted is not affected."
274,choice-specs,10,,"Held: Increases the holder's Special Attack by 50%, but restricts it to the first move it uses until it leaves battle or loses this item.  If this item is swapped for another Choice item via Trick or Switcheroo, the holder's restriction is still lifted, but it will again be restricted to the next move it uses.
(Quirk: If the holder is switched in by U-Turn and it also knows U-Turn, U-Turn becomes its restricted move.)"
275,flame-plate,90,,"Held: Increases the power of the holder's Fire moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Fire."
276,splash-plate,90,,"Held: Increases the power of the holder's Water moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Water."
277,zap-plate,90,,"Held: Increases the power of the holder's Electric moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Electric."
278,meadow-plate,90,,"Held: Increases the power of the holder's Grass moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Grass."
279,icicle-plate,90,,"Held: Increases the power of the holder's Ice moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Ice."
280,fist-plate,90,,"Held: Increases the power of the holder's Fighting moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Fighting."
281,toxic-plate,90,,"Held: Increases the power of the holder's Poison moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Poison."
282,earth-plate,90,,"Held: Increases the power of the holder's Ground moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Ground."
283,sky-plate,90,,"Held: Increases the power of the holder's Flying moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Flying."
284,mind-plate,90,,"Held: Increases the power of the holder's Psychic moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Psychic."
285,insect-plate,90,,"Held: Increases the power of the holder's Bug moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Bug."
286,stone-plate,90,,"Held: Increases the power of the holder's Rock moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Rock."
287,spooky-plate,90,,"Held: Increases the power of the holder's Ghost moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Ghost."
288,draco-plate,90,,"Held: Increases the power of the holder's Dragon moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Dragon."
289,dread-plate,90,,"Held: Increases the power of the holder's Dark moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Dark."
290,iron-plate,90,,"Held: Increases the power of the holder's Steel moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Steel."
291,odd-incense,10,,Held: Increases the power of the holder's Psychic moves by 20%.
292,rock-incense,10,,Held: Increases the power of the holder's Rock moves by 20%.
293,full-incense,10,,"Held: The holder will go last within its move's priority bracket, regardless of Speed.  If multiple Pokémon within the same priority bracket are subject to this effect, the slower Pokémon will go first.  The holder will move after Pokémon with Stall.  If the holder has Stall, Stall is ignored.  This item ignores Trick Room."
294,wave-incense,10,,Held: Increases the power of the holder's Water moves by 20%.
295,rose-incense,10,,Held: Increases the power of the holder's Grass moves by 20%.
296,luck-incense,10,,Held: Doubles the money the trainer receives after an in-game trainer battle.  This effect cannot apply more than once to the same battle.
297,pure-incense,10,,Held by lead Pokémon: Prevents wild battles with Pokémon that are lower level than the holder.
298,protector,80,,Held by Rhydon: Evolves the holder into Rhyperior when traded.
299,electirizer,80,,Held by Electabuzz: Evolves the holder into Electivire when traded.
300,magmarizer,80,,Held by Magmar: Evolves the holder into Magmortar when traded.
301,dubious-disc,50,,Held by Porygon2: Evolves the holder into Porygon-Z when traded.
302,reaper-cloth,10,,Held by Dusclops: Evolves the holder into Dusknoir when traded.
303,razor-claw,80,,"Held: Raises the holder's critical hit counter by 1.
Held by Sneasel: Evolves the holder into Weavile when it levels up during the night."
304,razor-fang,30,7,"Held: When the holder attacks with most damaging moves, provides an extra 11.7% (30/256) chance for the target to flinch.
Held by Gligar: Evolves the holder into Gliscor when it levels up."
305,tm01,,,Teaches Focus Punch to a compatible Pokémon.
306,tm02,,,Teaches Dragon Claw to a compatible Pokémon.
307,tm03,,,Teaches Water Pulse to a compatible Pokémon.
308,tm04,,,Teaches Calm Mind to a compatible Pokémon.
309,tm05,,,Teaches Roar to a compatible Pokémon.
310,tm06,,,Teaches Toxic to a compatible Pokémon.
311,tm07,,,Teaches Hail to a compatible Pokémon.
312,tm08,,,Teaches Bulk Up to a compatible Pokémon.
313,tm09,,,Teaches Bullet Seed to a compatible Pokémon.
314,tm10,,,Teaches Hidden Power to a compatible Pokémon.
315,tm11,,,Teaches Sunny Day to a compatible Pokémon.
316,tm12,,,Teaches Taunt to a compatible Pokémon.
317,tm13,,,Teaches Ice Beam to a compatible Pokémon.
318,tm14,,,Teaches Blizzard to a compatible Pokémon.
319,tm15,,,Teaches Hyper Beam to a compatible Pokémon.
320,tm16,,,Teaches Light Screen to a compatible Pokémon.
321,tm17,,,Teaches Protect to a compatible Pokémon.
322,tm18,,,Teaches Rain Dance to a compatible Pokémon.
323,tm19,,,Teaches Giga Drain to a compatible Pokémon.
324,tm20,,,Teaches Safeguard to a compatible Pokémon.
325,tm21,,,Teaches Frustration to a compatible Pokémon.
326,tm22,,,Teaches SolarBeam to a compatible Pokémon.
327,tm23,,,Teaches Iron Tail to a compatible Pokémon.
328,tm24,,,Teaches Thunderbolt to a compatible Pokémon.
329,tm25,,,Teaches Thunder to a compatible Pokémon.
330,tm26,,,Teaches Earthquake to a compatible Pokémon.
331,tm27,,,Teaches Return to a compatible Pokémon.
332,tm28,,,Teaches Dig to a compatible Pokémon.
333,tm29,,,Teaches Psychic to a compatible Pokémon.
334,tm30,,,Teaches Shadow Ball to a compatible Pokémon.
335,tm31,,,Teaches Brick Break to a compatible Pokémon.
336,tm32,,,Teaches Double Team to a compatible Pokémon.
337,tm33,,,Teaches Reflect to a compatible Pokémon.
338,tm34,,,Teaches Shock Wave to a compatible Pokémon.
339,tm35,,,Teaches Flamethrower to a compatible Pokémon.
340,tm36,,,Teaches Sludge Bomb to a compatible Pokémon.
341,tm37,,,Teaches Sandstorm to a compatible Pokémon.
342,tm38,,,Teaches Fire Blast to a compatible Pokémon.
343,tm39,,,Teaches Rock Tomb to a compatible Pokémon.
344,tm40,,,Teaches Aerial Ace to a compatible Pokémon.
345,tm41,,,Teaches Torment to a compatible Pokémon.
346,tm42,,,Teaches Facade to a compatible Pokémon.
347,tm43,,,Teaches Secret Power to a compatible Pokémon.
348,tm44,,,Teaches Rest to a compatible Pokémon.
349,tm45,,,Teaches Attract to a compatible Pokémon.
350,tm46,,,Teaches Thief to a compatible Pokémon.
351,tm47,,,Teaches Steel Wing to a compatible Pokémon.
352,tm48,,,Teaches Skill Swap to a compatible Pokémon.
353,tm49,,,Teaches Snatch to a compatible Pokémon.
354,tm50,,,Teaches Overheat to a compatible Pokémon.
355,tm51,,,Teaches Roost to a compatible Pokémon.
356,tm52,,,Teaches Focus Blast to a compatible Pokémon.
357,tm53,,,Teaches Energy Ball to a compatible Pokémon.
358,tm54,,,Teaches False Swipe to a compatible Pokémon.
359,tm55,,,Teaches Brine to a compatible Pokémon.
360,tm56,,,Teaches Fling to a compatible Pokémon.
361,tm57,,,Teaches Charge Beam to a compatible Pokémon.
362,tm58,,,Teaches Endure to a compatible Pokémon.
363,tm59,,,Teaches Dragon Pulse to a compatible Pokémon.
364,tm60,,,Teaches Drain Punch to a compatible Pokémon.
365,tm61,,,Teaches Will-O-Wisp to a compatible Pokémon.
366,tm62,,,Teaches Silver Wind to a compatible Pokémon.
367,tm63,,,Teaches Embargo to a compatible Pokémon.
368,tm64,,,Teaches Explosion to a compatible Pokémon.
369,tm65,,,Teaches Shadow Claw to a compatible Pokémon.
370,tm66,,,Teaches Payback to a compatible Pokémon.
371,tm67,,,Teaches Recycle to a compatible Pokémon.
372,tm68,,,Teaches Giga Impact to a compatible Pokémon.
373,tm69,,,Teaches Rock Polish to a compatible Pokémon.
374,tm70,,,Teaches Flash to a compatible Pokémon.
375,tm71,,,Teaches Stone Edge to a compatible Pokémon.
376,tm72,,,Teaches Avalanche to a compatible Pokémon.
377,tm73,,,Teaches Thunder Wave to a compatible Pokémon.
378,tm74,,,Teaches Gyro Ball to a compatible Pokémon.
379,tm75,,,Teaches Swords Dance to a compatible Pokémon.
380,tm76,,,Teaches Stealth Rock to a compatible Pokémon.
381,tm77,,,Teaches Psych Up to a compatible Pokémon.
382,tm78,,,Teaches Captivate to a compatible Pokémon.
383,tm79,,,Teaches Dark Pulse to a compatible Pokémon.
384,tm80,,,Teaches Rock Slide to a compatible Pokémon.
385,tm81,,,Teaches X-Scissor to a compatible Pokémon.
386,tm82,,,Teaches Sleep Talk to a compatible Pokémon.
387,tm83,,,Teaches Natural Gift to a compatible Pokémon.
388,tm84,,,Teaches Poison Jab to a compatible Pokémon.
389,tm85,,,Teaches Dream Eater to a compatible Pokémon.
390,tm86,,,Teaches Grass Knot to a compatible Pokémon.
391,tm87,,,Teaches Swagger to a compatible Pokémon.
392,tm88,,,Teaches Pluck to a compatible Pokémon.
393,tm89,,,Teaches U-Turn to a compatible Pokémon.
394,tm90,,,Teaches Substitute to a compatible Pokémon.
395,tm91,,,Teaches Flash Cannon to a compatible Pokémon.
396,tm92,,,Teaches Trick Room to a compatible Pokémon.
397,hm01,,,Teaches Cut to a compatible Pokémon.
398,hm02,,,Teaches Fly to a compatible Pokémon.
399,hm03,,,Teaches Surf to a compatible Pokémon.
400,hm04,,,Teaches Strength to a compatible Pokémon.
401,hm05,,,Teaches Defog to a compatible Pokémon.
402,hm06,,,Teaches Rock Smash to a compatible Pokémon.
403,hm07,,,Teaches Waterfall to a compatible Pokémon.
404,hm08,,,Teaches Rock Climb to a compatible Pokémon.
405,explorer-kit,,,Sends the trainer to the Underground.  Only usable outside.
406,loot-sack,,,Unused.
407,rule-book,,,Unused.
408,poke-radar,,,"Designates several nearby patches of grass as containing Pokémon, some of which may be special radar-only Pokémon.  Successive uses in a certain way create chains of encounters with the same species; longer chains increase the chance that a shiny Pokémon of that species will appear."
409,point-card,,,Tracks Battle Points.
410,journal,,,Records some of the trainer's activities for the day.
411,seal-case,,,Contains Seals used for decorating Pokéballs.
412,fashion-case,,,Contains Pokémon Accessories.
413,seal-bag,,,Unused.
414,pal-pad,,,"Contains friend codes for up to 32 other players, as well as their sprite, gender, and basic statistics for those that have been seen on WFC."
415,works-key,,,Opens the front door of the Valley Windworks.  Reusable.
416,old-charm,,,Given to Cynthia's grandmother to get the Surf HM.
417,galactic-key,,,Grants access to Galactic HQ in Veilstone City.
418,red-chain,,,Unused.
419,town-map,,,"Displays a map of the region including the trainer's position, location names, visited towns, gym locations, and where the trainer has been walking recently."
420,vs-seeker,,,"Reveals trainers who want a rematch, by showing !! over their heads.  Each use drains the battery; requires 100 steps to charge."
421,coin-case,,,"Contains the Coins used by the Game Corner, to a maximum of 50,000."
422,old-rod,,,"Used to find Pokémon on the Old Rod list for an area, which are generally Magikarp or similar."
423,good-rod,,,"Used to find Pokémon on the Good Rod list for an area, which are generally mediocre."
424,super-rod,,,"Used to find Pokémon on the Super Rod list for an area, which are generally the best available there."
425,sprayduck,,,Waters Berry plants.
426,poffin-case,,,Contains up to 100 Poffins.
427,bicycle,,,"Increases movement speed outside or in caves.  In high gear, allows the trainer to hop over some rocks and ascend muddy slopes."
428,suite-key,,,Opens the locked building in the lakeside resort.
429,oaks-letter,,,Grants access to Flower Paradise and Shaymin.
430,lunar-wing,,,"Cures the sailor's son of his nightmares; no reward, only a side effect of seeing Cresselia."
431,member-card,,,Provides access to Newmoon Island and Darkrai.
432,azure-flute,,,Supposedly related to t
433,ss-ticket,,,"Allows passage on a ferry.

The same item is used for different ferries between different games."
434,contest-pass,,,Allows the trainer to enter Contests.
435,magma-stone,,,"Causes Heatran to appear at Reversal Mountain.

Unused prior to Black and White 2."
436,parcel,,,"Given to the trainer's rival in Jubilife City.  Contains two Town Maps, one of which is given to the trainer upon delivery."
437,coupon-1,,,One of three coupons needed to receive a Pokétch.
438,coupon-2,,,One of three coupons needed to receive a Pokétch.
439,coupon-3,,,One of three coupons needed to receive a Pokétch.
440,storage-key,,,Grants access to the Team Galactic warehouse in Veilstone City.
441,secret-potion,,,Required to cure the Psyducks blocking Route 210 of their chronic headaches.
442,griseous-orb,60,,"Held by []{pokemon:giratina}
:   Holder's []{type:dragon} and []{type:ghost} moves have 1.2× their base power.

    Holder is in Origin Forme.

This item cannot be held by any Pokémon but Giratina.  When you enter the Union Room or connect to Wi-Fi, this item returns to your bag."
443,vs-recorder,,,"Optionally records wireless, Wi-Fi, and Battle Frontier battles.

Tracks Battle Points earned in the Battle Frontier, and stores commemorative prints."
444,gracidea,,,"Used by trainer on a []{pokemon:shaymin}
:   Changes the target Shaymin from Land Forme to Sky Forme.

    This item cannot be used on a [frozen]{mechanic:freezing} Shaymin or at night.  Sky Forme Shaymin will revert to Land Forme overnight, when frozen, and upon entering a link battle.  This item must be used again to change it back."
